1	25	262	60	262	60	281	25	281	267	235	291	273	60	38
2	53	352	207	352	207	382	53	382	241	299	318	329	154	30
3	90	443	210	443	210	467	90	467	225	450	311	481	120	31
4	20	522	60	522	60	542	20	542	237	519	259	549	60	30
5	234	534	360	534	360	564	234	564	362	539	442	569	126	30
6	229	248	352	248	352	273	229	273	386	259	465	284	159	25
7	851	330	1013	330	1013	356	851	356	870	330	951	356	162	26
8	853	444	1006	444	1006	492	853	492	1007	400	1083	448	153	48
10	1149	344	1263	344	1263	370	1149	370	1085	275	1163	299	157	24
11	1122	434	1279	434	1279	456	1122	456	1085	359	1163	381	157	22
12	244	616	398	616	398	646	244	646	358	632	435	662	154	30
13	228	159	388	159	388	186	228	186	392	132	472	149	160	27
14	525	251	682	251	682	281	525	281	611	257	689	287	157	30
15	526	528	617	528	617	553	526	553	600	530	677	555	154	25
16	264	395	421	395	421	425	264	425	396	409	474	439	157	30
17	525	393	683	393	683	423	525	423	609	397	688	427	158	30
18	890	148	1020	148	1020	176	890	176	1014	108	1094	130	161	22
19	881	236	1035	236	1035	260	881	260	1011	197	1088	221	154	24
20	868	523	1022	523	1022	547	868	547	1037	473	1114	497	154	24
21	868	610	1022	610	1022	634	868	634	1043	580	1120	604	154	24
22	890	179	1020	179	1020	204	890	204	1014	155	1093	178	158	23
23	881	267	1035	267	1035	291	881	291	1015	240	1092	264	154	24
24	872	553	1026	553	1026	577	872	577	1037	523	1114	547	154	24
25	868	641	1022	641	1022	665	868	665	1043	620	1120	644	154	24
